		Miranium costs for I/V/X/XV/XX are 100/100/100/1500/2000, unranked are just 100					Affixes already present on gear can have their ranks raised, so long as there are still enhancement slots available on the piece.																		
Melee: Fatigue I	Melee AA may inflict Fatigue I	1 Muscled Suid Bulge	-	-	1 Arc Sand Ore																				
Melee: Fatigue V	Melee AA may inflict Fatigue I	2 Muscled Suid Bulge	-	-	1 Lionbone Bort																				
Melee: Fatigue X	Melee AA may inflict Fatigue II	3 Muscled Suid Bulge	-	-	1 Enduron Lead																				
Melee: Fatigue XV	Melee AA may inflict Fatigue III	4 Muscled Suid Bulge	-	-	1 Boiled-Egg Ore																				
Melee: Fatigue XX	Melee AA may inflict Fatigue IV	5 Muscled Suid Bulge	-	-	1 Marine Rutile																				
Melee: Physical Res Down I	Melee AA may inflict Physical Res Down I	1 Juicy Wild Meat	-	-	1 Arc Sand Ore																				
Melee: Physical Res Down V	Melee AA may inflict Physical Res Down I	2 Juicy Wild Meat	-	-	1 Lionbone Bort																				
Melee: Physical Res Down X	Melee AA may inflict Physical Res Down II	3 Juicy Wild Meat	-	-	1 Enduron Lead																				
Melee: Physical Res Down XV	Melee AA may inflict Physical Res Down III	4 Juicy Wild Meat	-	-	1 Boiled-Egg Ore																				
Melee: Physical Res Down XX	Melee AA may inflict Physical Res Down IV	5 Juicy Wild Meat	-	-	1 Marine Rutile																				
Melee: Beam Res Down I	Melee AA may inflict Beam Res Down I	1 Adsecula Straw	-	-	1 Arc Sand Ore																				
Melee: Beam Res Down V	Melee AA may inflict Beam Res Down I	2 Adsecula Straw	-	-	1 Lionbone Bort																				
Melee: Beam Res Down X	Melee AA may inflict Beam Res Down II	3 Adsecula Straw	-	-	1 Enduron Lead																				
Melee: Beam Res Down XV	Melee AA may inflict Beam Res Down III	4 Adsecula Straw	-	-	1 Boiled-Egg Ore																				
Melee: Beam Res Down XX	Melee AA may inflict Beam Res Down IV	5 Adsecula Straw	-	-	1 Marine Rutile																				
Melee: Ether Res Down I	Melee AA may inflict Ether Res Down I	1 Perforated Oar	-	-	1 Arc Sand Ore																				
Melee: Ether Res Down V	Melee AA may inflict Ether Res Down I	2 Perforated Oar	-	-	1 Lionbone Bort																				
Melee: Ether Res Down X	Melee AA may inflict Ether Res Down II	3 Perforated Oar	-	-	1 Enduron Lead																				
Melee: Ether Res Down XV	Melee AA may inflict Ether Res Down III	4 Perforated Oar	-	-	1 Boiled-Egg Ore																				
Melee: Ether Res Down XX	Melee AA may inflict Ether Res Down IV	5 Perforated Oar	-	-	1 Marine Rutile																				
Melee: Thermal Res Down I	Melee AA may inflict Thermal Res Down I	1 Red Forfex Shell	-	-	1 Arc Sand Ore																				
Melee: Thermal Res Down V	Melee AA may inflict Thermal Res Down I	2 Red Forfex Shell	-	-	1 Lionbone Bort																				
Melee: Thermal Res Down X	Melee AA may inflict Thermal Res Down II	3 Red Forfex Shell	-	-	1 Enduron Lead																				
Melee: Thermal Res Down XV	Melee AA may inflict Thermal Res Down III	4 Red Forfex Shell	-	-	1 Boiled-Egg Ore																				
Melee: Thermal Res Down XX	Melee AA may inflict Thermal Res Down IV	5 Red Forfex Shell	-	-	1 Marine Rutile																				
Melee: Electric Res Down I	Melee AA may inflict Electric Res Down I	1 Muddy Pelt	-	-	1 Arc Sand Ore																				
Melee: Electric Res Down V	Melee AA may inflict Electric Res Down I	2 Muddy Pelt	-	-	1 Lionbone Bort																				
Melee: Electric Res Down X	Melee AA may inflict Electric Res Down II	3 Muddy Pelt	-	-	1 Enduron Lead																				
Melee: Electric Res Down XV	Melee AA may inflict Electric Res Down III	4 Muddy Pelt	-	-	1 Boiled-Egg Ore																				
Melee: Electric Res Down XX	Melee AA may inflict Electric Res Down IV	5 Muddy Pelt	-	-	1 Marine Rutile																				
Melee: Gravity Res Down I	Melee AA may inflict Gravity Res Down I	1 Black Blatta Wing	-	-	1 Arc Sand Ore																				
Melee: Gravity Res Down V	Melee AA may inflict Gravity Res Down I	2 Black Blatta Wing	-	-	1 Lionbone Bort																				
Melee: Gravity Res Down X	Melee AA may inflict Gravity Res Down II	3 Black Blatta Wing	-	-	1 Enduron Lead																				
Melee: Gravity Res Down XV	Melee AA may inflict Gravity Res Down III	4 Black Blatta Wing	-	-	1 Boiled-Egg Ore																				
Melee: Gravity Res Down XX	Melee AA may inflict Gravity Res Down IV	5 Black Blatta Wing	-	-	1 Marine Rutile																				
Melee: Blaze I	Melee AA may inflict Blaze I	1 Scirpo Malic Acid Sac	1 Pugilith Lamp	-	1 Aurorite																				
Melee: Blaze V	Melee AA may inflict Blaze I	2 Scirpo Malic Acid Sac	2 Pugilith Lamp	-	1 Infernium																				
Melee: Blaze X	Melee AA may inflict Blaze II	3 Scirpo Malic Acid Sac	3 Imperial Sphinx Fang	-	1 Cimmerian Cinnabar																				
Melee: Blaze XV	Melee AA may inflict Blaze III	4 Scirpo Malic Acid Sac	4 Imperial Sphinx Fang	-	1 Ouroboros Crystal																				
Melee: Blaze XX	Melee AA may inflict Blaze IV	5 Scirpo Malic Acid Sac	5 Imperial Sphinx Fang	-	1 Parhelion Platinum																				
Melee: Shock I	Melee AA may inflict Shock I	1 Scirpo Cyanide Sac	1 Electrified Xeno Blood	-	1 Aurorite																				
Melee: Shock V	Melee AA may inflict Shock I	2 Scirpo Cyanide Sac	2 Electrified Xeno Blood	-	1 Infernium																				
Melee: Shock X	Melee AA may inflict Shock II	3 Scirpo Cyanide Sac	3 Electric Tersqual Tear	-	1 Cimmerian Cinnabar																				
Melee: Shock XV	Melee AA may inflict Shock III	4 Scirpo Cyanide Sac	4 Electric Tersqual Tear	-	1 Ouroboros Crystal																				
Melee: Shock XX	Melee AA may inflict Shock IV	5 Scirpo Cyanide Sac	5 Electric Tersqual Tear	-	1 Parhelion Platinum																				
Melee: Recover HP I	Melee AA often restore 10 HP	1 Thallus Crescent Hook	1 Green Monoceros Horn	1 Liceor Horn	1 White Cometite																				
Melee: Recover HP V	Melee AA often restore 50 HP	2 Thallus Crescent Hook	2 Green Monoceros Horn	2 Liceor Horn	1 Dawnstone																				
Melee: Recover HP X	Melee AA often restore 100 HP	3 Thallus Crescent Hook	3 Millesaur Dung	3 Coronid Dung	1 Everfreeze Ore																				
Melee: Recover HP XV	Melee AA often restore 150 HP	4 Thallus Crescent Hook	4 Millesaur Dung	4 Coronid Dung	1 Foucaultium																				
Melee: Recover HP XX	Melee AA often restore 200 HP	5 Thallus Crescent Hook	5 Millesaur Dung	5 Coronid Dung	1 Bonjelium																				
Soft Touch I	Attacks have 10% chance to not break Sleep	1 Terebra Paw Stamp	-	-	1 Arc Sand Ore																				
Soft Touch V	Attacks have 18% chance to not break Sleep	2 Terebra Paw Stamp	-	-	1 Lionbone Bort																				
Soft Touch X	Attacks have 28% chance to not break Sleep	8 Arenatect Shell	8 Blue Jacul Wing	8 Gerrid Navel	2 Everfreeze Ore																				
Soft Touch XV	Attacks have 38% chance to not break Sleep	16 Arenatect Shell	16 Blue Jacul Wing	16 Gerrid Navel	4 Foucaultium																				
Soft Touch XX	Attacks have 50% chance to not break Sleep	32 Arenatect Shell	32 Blue Jacul Wing	32 Gerrid Navel	8 Bonjelium																				
Nullify Physical Reflect I	5% chance to nullify Physical Reflect	1 Juicy Wild Meat	-	-	1 Arc Sand Ore																				
Nullify Physical Reflect V	25% chance to nullify Physical Reflect	2 Juicy Wild Meat	-	-	1 Lionbone Bort																				
Nullify Physical Reflect X	50% chance to nullify Physical Reflect	3 Juicy Wild Meat	-	-	1 Enduron Lead																				
Nullify Physical Reflect XV	75% chance to nullify Physical Reflect	4 Juicy Wild Meat	-	-	1 Boiled-Egg Ore																				
Nullify Physical Reflect XX	100% chance to nullify Physical Reflect	5 Juicy Wild Meat	-	-	1 Marine Rutile																				
Nullify Beam Reflect I	5% chance to nullify Beam Reflect	1 Adsecula Straw	-	-	1 Arc Sand Ore																				
Nullify Beam Reflect V	25% chance to nullify Beam Reflect	2 Adsecula Straw	-	-	1 Lionbone Bort																				
Nullify Beam Reflect X	50% chance to nullify Beam Reflect	3 Adsecula Straw	-	-	1 Enduron Lead																				
Nullify Beam Reflect XV	75% chance to nullify Beam Reflect	4 Adsecula Straw	-	-	1 Boiled-Egg Ore																				
Nullify Beam Reflect XX	100% chance to nullify Beam Reflect	5 Adsecula Straw	-	-	1 Marine Rutile																				
Nullify Ether Reflect I	5% chance to nullify Ether Reflect	1 Perforated Oar	-	-	1 Arc Sand Ore																				
Nullify Ether Reflect V	25% chance to nullify Ether Reflect	2 Perforated Oar	-	-	1 Lionbone Bort																				
Nullify Ether Reflect X	50% chance to nullify Ether Reflect	3 Perforated Oar	-	-	1 Enduron Lead																				
Nullify Ether Reflect XV	75% chance to nullify Ether Reflect	4 Perforated Oar	-	-	1 Boiled-Egg Ore																				
Nullify Ether Reflect XX	100% chance to nullify Ether Reflect	5 Perforated Oar	-	-	1 Marine Rutile																				
Nullify Thermal Reflect I	5% chance to nullify Thermal Reflect	1 Red Forfex Shell	-	-	1 Arc Sand Ore																				
Nullify Thermal Reflect V	25% chance to nullify Thermal Reflect	2 Red Forfex Shell	-	-	1 Lionbone Bort																				
Nullify Thermal Reflect X	50% chance to nullify Thermal Reflect	3 Red Forfex Shell	-	-	1 Enduron Lead																				
Nullify Thermal Reflect XV	75% chance to nullify Thermal Reflect	4 Red Forfex Shell	-	-	1 Boiled-Egg Ore																				
Nullify Thermal Reflect XX	100% chance to nullify Thermal Reflect	5 Red Forfex Shell	-	-	1 Marine Rutile																				
Nullify Electric Reflect I	5% chance to nullify Electric Reflect	1 Muddy Pelt	-	-	1 Arc Sand Ore																				
Nullify Electric Reflect V	25% chance to nullify Electric Reflect	2 Muddy Pelt	-	-	1 Lionbone Bort																				
Nullify Electric Reflect X	50% chance to nullify Electric Reflect	3 Muddy Pelt	-	-	1 Enduron Lead																				
Nullify Electric Reflect XV	75% chance to nullify Electric Reflect	4 Muddy Pelt	-	-	1 Boiled-Egg Ore																				
Nullify Electric Reflect XX	100% chance to nullify Electric Reflect	5 Muddy Pelt	-	-	1 Marine Rutile																				
Nullify Gravity Reflect I	5% chance to nullify Gravity Reflect	1 Black Blatta Wing	-	-	1 Arc Sand Ore																				
Nullify Gravity Reflect V	25% chance to nullify Gravity Reflect	2 Black Blatta Wing	-	-	1 Lionbone Bort																				
Nullify Gravity Reflect X	50% chance to nullify Gravity Reflect	3 Black Blatta Wing	-	-	1 Enduron Lead																				
Nullify Gravity Reflect XV	75% chance to nullify Gravity Reflect	4 Black Blatta Wing	-	-	1 Boiled-Egg Ore																				
Nullify Gravity Reflect XX	100% chance to nullify Gravity Reflect	5 Black Blatta Wing	-	-	1 Marine Rutile																				
Overdrive Count Up I	Overdrive counter starts with +1	1 Elemental Cluster	1 Moving Thallus Tail	1 Puge Counter	1 White Cometite																				
Overdrive Count Up V	Overdrive counter starts with +5	2 Elemental Cluster	2 Moving Thallus Tail	2 Puge Counter	1 Dawnstone																				
Overdrive Count Up X	Overdrive counter starts with +10	4 Elemental Cluster	4 Fertilized Jacul Egg	4 Maple Oil	2 Everfreeze Ore																				
Overdrive Count Up XV	Overdrive counter starts with +15	6 Elemental Cluster	6 Fertilized Jacul Egg	6 Maple Oil	4 Foucaultium																				
Overdrive Count Up XX	Overdrive counter starts with +20	12 Elemental Cluster	12 Fertilized Jacul Egg	12 Maple Oil	8 Bonjelium																				
Overdrive Blue Bonus	Blue Arts raise Overdrive counter by 10	16 Emerald Whiskey	16 Crimson Dilus Eye	16 Moving Dilus Tail	24 White Cometite																				
Overdrive Green Bonus	Green Arts raise Overdrive counter by 3	24 Galdr Head	24 Amber Dilus Eye	24 Sylooth Tonic Water	12 Bonjelium																				
Arts: Gain TP I	Using Arts restores 10 TP	1 White Mortifole Feather	1 Ornate Insidia Claw	1 Blue Fungi	1 White Cometite																				
Arts: Gain TP V	Using Arts restores 50 TP	2 White Mortifole Feather	2 Ornate Insidia Claw	2 Blue Fungi	1 Dawnstone																				
Arts: Gain TP X	Using Arts restores 100 TP	8 White Mortifole Feather	8 Aeviter Star Wing	8 Red Vigent Rock Scalp	2 Everfreeze Ore																				
Arts: Gain TP XV	Using Arts restores 150 TP	16 White Mortifole Feather	16 Aeviter Star Wing	16 Red Vigent Rock Scalp	4 Foucaultium																				
Arts: Gain TP XX	Using Arts restores 200 TP	32 White Mortifole Feather	32 Aeviter Star Wing	32 Red Vigent Rock Scalp	8 Bonjelium																				
Arts: Recover HP I	Using Arts restores 10 HP	1 Melon Oil	1 Silver Blatta Wing	1 Pristine Insect Jaw	1 White Cometite																				
Arts: Recover HP V	Using Arts restores 50 HP	2 Melon Oil	2 Silver Blatta Wing	2 Pristine Insect Jaw	1 Dawnstone																				
Arts: Recover HP X	Using Arts restores 100 HP	8 Melon Oil	8 Large Lophid Liver	8 Virago Blood Sweat	2 Everfreeze Ore																				
Arts: Recover HP XV	Using Arts restores 150 HP	16 Melon Oil	16 Large Lophid Liver	16 Virago Blood Sweat	4 Foucaultium																				
Arts: Recover HP XX	Using Arts restores 200 HP	32 Melon Oil	32 Large Lophid Liver	32 Virago Blood Sweat	8 Bonjelium																				
Secondary CD Reducer I	Doublecast 1% faster	1 Advanced Jet	1 Brilliant Murra Liquid	1 Quality Shaft	1 White Cometite																				
Secondary CD Reducer V	Doublecast 5% faster	2 Advanced Jet	2 Brilliant Visigel Liquid	2 Quality Shaft	1 Dawnstone																				
Secondary CD Reducer X	Doublecast 10% faster	3 Liceor Sun Bead	3 Coconut Oil	3 Yggralith Recovery Horn	2 Everfreeze Ore																				
Secondary CD Reducer XV	Doublecast 15% faster	6 Liceor Sun Bead	6 Coconut Oil	6 Yggralith Recovery Horn	4 Foucaultium																				
Secondary CD Reducer XX	Doublecast 20% faster	12 Liceor Sun Bead	12 Coconut Oil	12 Yggralith Recovery Horn	16 Bonjelium																				
Extend Blaze I	Blaze duration from arts +1s	1 Poisonous Needle	-	-	1 Arc Sand Ore																				
Extend Blaze V	Blaze duration from arts +5s	2 Poisonous Needle	-	-	1 Lionbone Bort																				
Extend Blaze X	Blaze duration from arts +10s	3 Poisonous Needle	-	-	1 Enduron Lead																				
Extend Blaze XV	Blaze duration from arts +15s	4 Poisonous Needle	-	-	1 Boiled-Egg Ore																				
Extend Blaze XX	Blaze duration from arts +20s	5 Poisonous Needle	-	-	1 Marine Rutile																				
Extend Shock I	Shock duration from arts +1s	1 Vesper Fang	-	-	1 Arc Sand Ore																				
Extend Shock V	Shock duration from arts +5s	2 Vesper Fang	-	-	1 Lionbone Bort																				
Extend Shock X	Shock duration from arts +10s	3 Vesper Fang	-	-	1 Enduron Lead																				
Extend Shock XV	Shock duration from arts +15s	4 Vesper Fang	-	-	1 Boiled-Egg Ore																				
Extend Shock XX	Shock duration from arts +20s	5 Vesper Fang	-	-	1 Marine Rutile																				
Extend Physical Res Down 	Physical Res Down duration from arts +1s	1 Juicy Wild Meat	-	-	1 Arc Sand Ore																				
Extend Physical Res Down V	Physical Res Down duration from arts +5s	2 Juicy Wild Meat	-	-	1 Lionbone Bort																				
Extend Physical Res Down X	Physical Res Down duration from arts +10s	3 Juicy Wild Meat	-	-	1 Enduron Lead																				
Extend Physical Res Down XV	Physical Res Down duration from arts +15s	4 Juicy Wild Meat	-	-	1 Boiled-Egg Ore																				
Extend Physical Res Down XX	Physical Res Down duration from arts +20s	5 Juicy Wild Meat	-	-	1 Marine Rutile																				
Extend Beam Res Down I	Beam Res Down duration from arts +1s	1 Adsecula Straw	-	-	1 Arc Sand Ore																				
Extend Beam Res Down V	Beam Res Down duration from arts +5s	2 Adsecula Straw	-	-	1 Lionbone Bort																				
Extend Beam Res Down X	Beam Res Down duration from arts +10s	3 Adsecula Straw	-	-	1 Enduron Lead																				
Extend Beam Res Down XV	Beam Res Down duration from arts +15s	4 Adsecula Straw	-	-	1 Boiled-Egg Ore																				
Extend Beam Res Down XX	Beam Res Down duration from arts +20s	5 Adsecula Straw	-	-	1 Marine Rutile																				
Extend Ether Res Down I	Ether Res Down duration from arts +1s	1 Perforated Oar	-	-	1 Arc Sand Ore		duration +2s																		
Extend Ether Res Down V	Ether Res Down duration from arts +5s	2 Perforated Oar	-	-	1 Lionbone Bort																				
Extend Ether Res Down X	Ether Res Down duration from arts +10s	3 Perforated Oar	-	-	1 Enduron Lead																				
Extend Ether Res Down XV	Ether Res Down duration from arts +15s	4 Perforated Oar	-	-	1 Boiled-Egg Ore																				
Extend Ether Res Down XX	Ether Res Down duration from arts +20s	5 Perforated Oar	-	-	1 Marine Rutile																				
Extend Thermal Res Down I	Thermal Res Down duration from arts +1s	1 Red Forfex Shell	-	-	1 Arc Sand Ore																				
Extend Thermal Res Down V	Thermal Res Down duration from arts +5s	2 Red Forfex Shell	-	-	1 Lionbone Bort																				
Extend Thermal Res Down X	Thermal Res Down duration from arts +10s	3 Red Forfex Shell	-	-	1 Enduron Lead																				
Extend Thermal Res Down XV	Thermal Res Down duration from arts +15s	4 Red Forfex Shell	-	-	1 Boiled-Egg Ore																				
Extend Thermal Res Down XX	Thermal Res Down duration from arts +20s	5 Red Forfex Shell	-	-	1 Marine Rutile																				
Extend Electric Res Down I	Electric Res Down duration from arts +1s	1 Muddy Pelt	-	-	1 Arc Sand Ore																				
Extend Electric Res Down V	Electric Res Down duration from arts +5s	2 Muddy Pelt	-	-	1 Lionbone Bort																				
Extend Electric Res Down X	Electric Res Down duration from arts +10s	3 Muddy Pelt	-	-	1 Enduron Lead																				
Extend Electric Res Down XV	Electric Res Down duration from arts +15s	4 Muddy Pelt	-	-	1 Boiled-Egg Ore																				
Extend Electric Res Down XX	Electric Res Down duration from arts +20s	5 Muddy Pelt	-	-	1 Marine Rutile																				
Extend Gravity Res Down I	Gravity Res Down duration from arts +1s	1 Black Blatta Wing	-	-	1 Arc Sand Ore																				
Extend Gravity Res Down V	Gravity Res Down duration from arts +5s	2 Black Blatta Wing	-	-	1 Lionbone Bort																				
Extend Gravity Res Down X	Gravity Res Down duration from arts +10s	3 Black Blatta Wing	-	-	1 Enduron Lead																				
Extend Gravity Res Down XV	Gravity Res Down duration from arts +15s	4 Black Blatta Wing	-	-	1 Boiled-Egg Ore																				
Extend Gravity Res Down XX	Gravity Res Down duration from arts +20s	5 Black Blatta Wing	-	-	1 Marine Rutile																				
Opening Art: Damage Up I	Battle-starting Arts dmg +5%	1 Red Thallus Antenna	1 Monoceros Wing	1 Reinforced Thruster	1 White Cometite																				
Opening Art: Damage Up V	Battle-starting Arts dmg +25%	2 Red Thallus Antenna	2 Monoceros Wing	2 Reinforced Thruster	1 Dawnstone																				
Opening Art: Damage Up X	Battle-starting Arts dmg +50%	3 Red Thallus Antenna	3 Parasitic Capsule	3 Large Saw Tooth	1 Everfreeze Ore																				
Opening Art: Damage Up XV	Battle-starting Arts dmg +75%	4 Red Thallus Antenna	4 Parasitic Capsule	4 Large Saw Tooth	1 Foucaultium																				
Opening Art: Damage Up XX	Battle-starting Arts dmg +100%	5 Red Thallus Antenna	5 Parasitic Capsule	5 Large Saw Tooth	1 Bonjelium																				
Melee Draw Surge I	"Melee Draw" activation rate +10%	1 Red Simius Mane	1 Green Simius Mane	-	1 Aurorite																				
Melee Draw Surge V	"Melee Draw" activation rate +18%	2 Red Simius Mane	2 Green Simius Mane	-	1 Infernium																				
