Name	Genus	Type	Continent	Location	Lv	Exp	HP	M.Pow	M.Acc	R.Pow	R.Acc	Pot.	Eva	Res		Drops~								Wep	Armor	SkellWep	SkellArmr	Tyrant
				n=night, hi/lo=high/low, air=flying around, wait=doesn't appear immediately										Phys/Beam/Eth/Heat/Elec/Grav										Gear Drops (click link for more details)			
Lapis Scirpo	Scirpo	Insectoid	Primordia	Headwater Cavern	11~20	80~138	9405~20015	171~299	125~143	171~299	120~138	175~307	35~53	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Cyanide Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Jade Scirpo	Scirpo	Insectoid	Primordia	bigroofcave,arlentcave	21~30	106~175	16952~28877	244~359	145~175	244~359	140~170	250~369	55~85	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Cyanide Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Citrine Scirpo	Scirpo	Insectoid	Primordia	109S,111	31~40	182~258	30115~42156	374~511	178~205	374~511	173~200	384~525	88~115	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Cyanide Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Beach Forfex	Forfex	Insectoid	Primordia	107,116E	1~10	18~50	1131~6452	37~130	110~129	30~106	105~123	33~118	13~29	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Sea Forfex	Forfex	Insectoid	Primordia	108W,113,116E	11~20	54~94	7096~15103	141~247	131~150	115~202	126~144	128~225	31~47	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Coral Forfex	Forfex	Insectoid	Primordia	106,113,NmostInlet	21~30	101~166	15991~27239	275~406	152~183	225~332	147~178	250~369	49~76	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Hydro Forfex	Forfex	Insectoid	Primordia	102N,Sairam,111	31~40	173~245	28406~39765	422~577	186~215	345~472	181~210	384~525	79~103	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Raging Forfex	Forfex	Insectoid	Primordia	Primordia Waters (West) - island	51~60	509~655	68473~80130	1085~1353	256~294	888~1107	250~288	987~1230	138~171	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Sven, the Sturdy	Forfex	Insectoid	Primordia	Primordia Waters (West) - island	59	953	152932	1389	304	1136	298	1263	175	100/100/100/100/100/100		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---	Y
Tourteau, the Delectable	Forfex	Insectoid	Primordia	[19:00~5:00]: 116E	8	65	11722	112	131	92	125	102	27	45/5/-20/-20/5/5		Forfex Miso	White Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---	Y
Mother Forfex	Forfex	Insectoid	Primordia	107W (Rain),116E	11~20	76~131	8871~18879	193~338	131~150	157~276	126~144	175~307	31~47	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Femme Forfex	Forfex	Insectoid	Primordia	Northpointe Cove  (Rain)	21~30	141~232	19989~34046	376~554	152~183	307~453	147~178	342~504	49~76	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Big Forfex	Forfex	Insectoid	Primordia	Sayram (Rain)	31~40	242~343	35508~49707	577~788	186~215	472~645	181~210	525~717	79~103	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Volkampf, the Pursuer	Cinicula	Insectoid	Primordia	Chapter 2	5	162	8043	78	112	78	107	65	15	40/5/-20/-20/5/5		---	---	---	---	---	---	---		---	SA - M	---	---	Y
Copper Cinicula	Cinicula	Insectoid	Primordia	110,114	21~30	336~552	119236~203109	547~806	137~166	547~806	133~161	456~672	35~55	35/0/-25/-25/0/0		Honey Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	15	---
Bronze Cinicula	Cinicula	Insectoid	Primordia	110,JanpathW	31~40	576~816	211812~296509	840~1147	169~194	840~1147	164~190	700~956	57~74	35/0/-25/-25/0/0		Honey Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	15	---
Eckart, the Indestructible	Cinicula	Insectoid	Primordia	110SW	50	2646	1502097	2418	239	2418	234	2016	102	40/5/-20/-20/5/5		Honey Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	15	---	Y
Pure Cinicula	Cinicula	Insectoid	Primordia	109S	21~30	157~258	24801~42246	410~604	137~166	410~604	133~161	342~504	35~55	35/0/-25/-25/0/0		Melon Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	---	---
Young Cinicula	Cinicula	Insectoid	Primordia	Janpath W	11~20	84~146	11007~23424	210~369	118~135	210~369	114~131	175~307	22~35	35/0/-25/-25/0/0		Melon Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	---	---
Origin Blatta	Blatta	Insectoid	Primordia	Prologue	1	7	1019	27	105	27	100	31	15	20/0/-25/-25/0/0		---	---	---	---	---	---	---					
Pebble Blatta	Blatta	Insectoid	Primordia	[19:00~5:00]:102,107,118N	1~10	7~20	1019~5813	27~97	105~123	27~97	100~118	31~108	15~33	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Rapid Blatta	Blatta	Insectoid	Primordia	unicorn cliff	11~20	22~37	6393~13605	105~184	125~143	105~184	120~138	117~205	35~53	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Tough Blatta	Blatta	Insectoid	Primordia	102NE(n),110SE	21~30	40~66	14405~24538	205~302	145~175	205~302	140~170	228~336	55~85	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Black Blatta	Blatta	Insectoid	Primordia	bigroofcave,119W(n)	31~40	69~98	25589~35822	315~430	178~205	315~430	173~200	350~478	88~115	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Dark Blatta	Blatta	Insectoid	Primordia	108,111	41~50	102~141	40011~48413	444~576	208~240	444~576	203~235	494~640	118~150	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Hell Blatta	Blatta	Insectoid	Primordia	110(high)	51~60	145~187	49346~57746	592~738	244~280	592~738	239~275	658~820	154~190	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Casper, the Unhealthy Eater	Blatta	Insectoid	Primordia	[19:00~5:00]: West Gate, up near the crystals	13	37	17084	128	135	128	130	142	40	25/5/-20/-20/5/5		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---	Y
Egg Blatta	Blatta	Insectoid	Primordia	[19:00~5:00]:occasionally replaces Nocto Blatta at Suid corpses	1~10	7~20	1019~5813	27~97	105~123	27~97	100~118	31~108	15~33	20/0/-25/-25/0/0		Medicinal Blatta Oil	Green Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Larva Blatta	Blatta	Insectoid	Primordia	[19:00~5:00]:bluecliff	11~20	22~37	6393~13605	105~184	125~143	105~184	120~138	117~205	35~53	20/0/-25/-25/0/0		Medicinal Blatta Oil	Green Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Young Blatta	Blatta	Insectoid	Primordia	[19:00~5:00]:111	41~50	102~141	40011~48413	444~576	208~240	444~576	203~235	494~640	118~150	20/0/-25/-25/0/0		Medicinal Blatta Oil	Green Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Creeping Blatta	Blatta	Insectoid	Primordia	[5:00~19:00]: 107,119	1~10	7~20	1019~5813	29~102	105~123	29~102	100~118	31~108	15~33	20/0/-25/-25/0/0		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Sneaking Blatta	Blatta	Insectoid	Primordia	[5:00~19:00]: bluecliff,114	11~20	22~37	6393~13605	111~194	125~143	111~194	120~138	117~205	35~53	20/0/-25/-25/0/0		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Stalking Blatta	Blatta	Insectoid	Primordia	[5:00~19:00]: 112N,113SW	21~30	40~66	14405~24538	216~319	145~175	216~319	140~170	228~336	55~85	20/0/-25/-25/0/0		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Crawler Blatta	Blatta	Insectoid	Primordia	[5:00~19:00]: 109,110	31~40	69~98	25589~35822	332~454	178~205	332~454	173~200	350~478	88~115	20/0/-25/-25/0/0		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Judge Blatta	Blatta	Insectoid	Primordia	[5:00~19:00]: 108	41~50	102~141	40011~48413	469~608	208~240	469~608	203~235	494~640	118~150	20/0/-25/-25/0/0		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Curse Blatta	Blatta	Insectoid	Primordia	Primordia Waters (West) - island	51~60	145~187	49346~57746	625~779	244~280	625~779	239~275	658~820	154~190	20/0/-25/-25/0/0		Medicinal Blatta Oil	Red Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Agito, the Golden	Blatta	Insectoid	Primordia	[19:00~5:00]: 102E	36~40	531~623	69949~80563	441~501	202~215	441~501	197~210	441~501	118~132	25/5/-20/-20/5/5		Golden Medal	Medicinal Blatta Oil	Golden Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---		〇	---	---	---	Y
Roimi, the Affluent	Blatta	Insectoid	Primordia	[19:00~5:00]: 117SE	31~35	440~513	57550~67391	367~426	186~199	367~426	181~194	367~426	101~115	25/5/-20/-20/5/5		Golden Medal	Medicinal Blatta Oil	Golden Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---		〇	---	---	---	Y
White Blatta	Blatta	Insectoid	Primordia	Headwater Cavern	1~10	7~20	1019~5813	27~97	105~123	27~97	100~118	31~108	15~34	20/0/-25/-25/0/0		Medicinal Blatta Oil	Silver Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Metal Blatta	Blatta	Insectoid	Primordia	Headwater Cavern	11~20	22~37	6393~13605	105~184	125~143	105~184	120~138	117~205	36~55	20/0/-25/-25/0/0		Medicinal Blatta Oil	Silver Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Wootz Blatta	Blatta	Insectoid	Primordia	arlentcave	21~30	40~66	14405~24538	205~302	145~175	205~302	140~170	228~336	57~89	20/0/-25/-25/0/0		Medicinal Blatta Oil	Silver Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Moon Blatta	Blatta	Insectoid	Primordia	Drop Shaft	51~60	145~187	49346~57746	592~738	244~280	592~738	239~275	658~820	161~199	20/0/-25/-25/0/0		Medicinal Blatta Oil	Silver Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Nocto Blatta	Blatta	Insectoid	Primordia	102E,116,JanpathW/N	1~10	7~20	1019~5813	27~97	105~123	27~97	100~118	31~108	15~33	20/0/-25/-25/0/0		Medicinal Blatta Oil	Black Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Raven Turba	Turba	Insectoid	Primordia	TurtleNest	31~40	92~131	24882~34833	385~525	182~210	365~499	173~200	385~525	89~117	35/0/-25/-25/0/-25		Black Turba Nectar	Turba Straw	Poisonous Needle	Small Insect Leg	Broken Antenna	---	---		〇	SA - Sk	---	---
Miniature Adsecula	Adsecula	Insectoid	Primordia	[19:00~5:00]: 102,116,119	1~10	10~27	991~5652	32~112	105~123	32~112	100~118	34~118	15~34	35/0/-25/-25/0/-25		Adsecula Gold Nugget	Adsecula Straw	Poisonous Needle	Small Insect Leg	Tatty Insect Wing	---	---		〇	OR - H	---	---
Shadow Adsecula	Adsecula	Insectoid	Primordia	Headwater Cavern,bigroof(night),120	11~20	29~50	6216~13230	122~214	125~143	122~214	120~138	128~225	36~55	35/0/-25/-25/0/-25		Adsecula Gold Nugget	Adsecula Straw	Poisonous Needle	Small Insect Leg	Tatty Insect Wing	---	---		〇	OR - H	---	---
Savanna Adsecula	Adsecula	Insectoid	Primordia	unicorn cliff,midroof(n),119	21~30	54~147	14007~23861	238~351	145~175	238~351	140~170	250~369	57~89	35/0/-25/-25/0/-25		Adsecula Gold Nugget	Adsecula Straw	Poisonous Needle	Small Insect Leg	Tatty Insect Wing	---	---		〇	OR - H	---	---
Dusk Adsecula	Adsecula	Insectoid	Primordia	111,119W	31~40	92~218	24882~34833	365~499	178~250	365~499	173~200	385~525	92~120	35/0/-25/-25/0/-25		Adsecula Gold Nugget	Adsecula Straw	Poisonous Needle	Small Insect Leg	Tatty Insect Wing	---	---		〇	OR - H	---	---
Umbral Adsecula	Adsecula	Insectoid	Primordia	108,111,119	41~50	136~188	38907~47078	516~668	208~240	516~668	203~235	543~704	123~157	35/0/-25/-25/0/-25		Adsecula Gold Nugget	Adsecula Straw	Poisonous Needle	Small Insect Leg	Tatty Insect Wing	---	---		〇	OR - H	---	---
Photon Adsecula	Adsecula	Insectoid	Primordia	[19:00~5:00]: Biahnofalls(high)	51~60	194~250	47984~56152	687~856	244~280	687~856	239~275	723~902	161~199	35/0/-25/-25/0/-25		Adsecula Gold Nugget	Adsecula Straw	Poisonous Needle	Small Insect Leg	Tatty Insect Wing	---	---		〇	OR - H	---	---
Etutanne, the Bloodthirsty	Adsecula	Insectoid	Primordia	bigroof	33	349	89242	564	193	564	187	594	103	40/5/-20/-20/5/-20		Adsecula Gold Nugget	Adsecula Straw	Poisonous Needle	Small Insect Leg	Tatty Insect Wing	---	---		〇	OR - H	---	---	Y
Cursed Adsecula	Adsecula	Insectoid	Primordia	Castaway Cavern	51~60	323~416	56452~66062	687~856	244~280	687~856	239~275	723~902	161~199	35/0/-25/-25/0/-25		Adsecula Oil Drop	Adsecula Straw	Poisonous Needle	Small Insect Leg	Tatty Insect Wing	---	---		〇	OR - H	---	---
Honey Papil	Papil	Insectoid	Primordia	[5:00~19:00] JanpathSE	1~10	10~27	991~5652	32~112	105~123	34~118	105~123	34~118	15~33	35/0/-25/-25/0/-25		Alluring Papil Scales	Papil Straw	Poisonous Needle	Musky Nectar	Viscous Humour	---	---		〇	SA - M	---	---
Lake Papil	Papil	Insectoid	Primordia	[5:00~19:00] 103,Biahno River	11~20	29~50	6216~13230	122~214	125~143	128~225	126~144	128~225	35~54	35/0/-25/-25/0/-25		Alluring Papil Scales	Papil Straw	Poisonous Needle	Musky Nectar	Viscous Humour	---	---		〇	SA - M	---	---
River Papil	Papil	Insectoid	Primordia	[5:00~19:00] 112N	21~30	54~88	14007~23861	238~531	145~175	250~369	147~178	250~369	56~86	35/0/-25/-25/0/-25		Alluring Papil Scales	Papil Straw	Poisonous Needle	Musky Nectar	Viscous Humour	---	---		〇	SA - M	---	---
Caranau, the Water Drake	Papil	Insectoid	Primordia	Biahno River	10	67	14959	118	129	124	130	124	35	40/5/-20/-20/5/-20		Alluring Papil Scales	Papil Straw	Poisonous Needle	Musky Nectar	Viscous Humour	---	---		〇	SA - M			Y
Zeppelin Germivore	Germivore	Insectoid	Primordia	108NW	21~30	50~83	14405~24538	216~319	137~166	216~319	133~161	228~336	60~93	35/0/-25/-25/0/-25		Sharp Germivore Jaw	Flowering Germivore Scales	Insect Jaw	Sticky Mucus	---	---	---		〇	SS - H	---	---
Inferno Ictus	Ictus	Insectoid	Primordia	bigroof(n),111,121(n)	41~50	437~604	74045~89595	889~1152	249~288	815~1056	203~235	778~1008	118~150	35/0/-25/-25/0/0		Lone White Ictus Stinger	Ictus Shell	Pristine Insect Jaw	Lead Carapace	---	---	---		〇	SA - L	---	---
Immortal Ictus	Ictus	Insectoid	Primordia	[19:00~5:00]: RoofRock,JanpathN,107N,108,111	51~60	622~801	91320~106866	1184~1476	292~336	1085~1353	239~275	1036~1291	154~190	35/0/-25/-25/0/0		Lone White Ictus Stinger	Ictus Shell	Pristine Insect Jaw	Lead Carapace	---	---	---		〇	SA - L	---	---
Plant Mortifole	Mortifole	Insectoid	Primordia	119	1~10	12~34	1078~6151	32~112	105~123	35~124	105~123	34~118	15~33	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	Golden Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Cave Mortifole	Mortifole	Insectoid	Primordia	Arlentcave	21~30	67~110	15243~25966	238~351	145~175	282~415	154~187	250~369	48~74	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	White Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Pit Mortifole	Mortifole	Insectoid	Primordia	105S	21~30	67~110	15243~25966	238~351	145~175	263~388	147~178	250~369	55~85	35/0/-25/-25/0/-25		Shiny Mortifole Seed	Mortifole Pollen	Golden Mortifole Feather	Fluffy Tuft	Broken Antenna	---	---		〇	ME - H	---	---
Welkin Levitath	Levitath	Insectoid	Primordia	108,110,bigroof,120W	41~50	852~1176	371571~449604	938~1216	197~228	1136~1472	203~235	988~1280	118~150	35/0/-25/-25/0/-25		Sparkling Blue Gem	Leviath Sun Bead	Levitath Feather	Nutritious Microbes	Sturdy Drakebone	---	---		---	OR - M	---	---
Eutropio, the Sea Rumble	Levitath	Insectoid	Primordia	119W	45	1494	914049	1113	219	1347	225	1171	136	40/5/-20/-20/5/-20		Sparkling Blue Gem	Leviath Sun Bead	Levitath Feather	Nutritious Microbes	Sturdy Drakebone	---	---		---	OR - M	---	---	Y
Burning Lophid	Lophid	Piscinoid	Primordia	Castaway Cavern	51~60	1151~1482	438339~512958	1513~1886	231~266	1283~1599	227~261	1316~1640	173~213	0/0/-25/0/-50/-25		Large Lophid Liver	Alluring Lophid Extract	Spiked Tail Fin	Lophid Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	CC - L	6	---
Ocean Lophid	Lophid	Piscinoid	Primordia	109,Janpath,120NE	41~50	809~1117	355416~430056	1136~1472	197~228	963~1248	192~223	988~1280	132~169	0/0/-25/0/-50/-25		Large Lophid Liver	Blinding Lophid Extract	Spiked Tail Fin	Lophid Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	CC - L	6	---
Marine Lophid	Lophid	Piscinoid	Primordia	[19:00~5:00]: 107S,111	51~60	1151~1482	438339~512958	1513~1886	231~266	1283~1599	227~261	1316~1640	173~213	0/0/-25/0/-50/-25		Large Lophid Liver	Blinding Lophid Extract	Spiked Tail Fin	Lophid Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	CC - L	6	---
Ridill, the Arrogant	Lophid	Piscinoid	Primordia	109 (appearances rare)	58	2084	1116838	1893	271	1604	166	1646	214	5/5/-20/5/-45/-20		Large Lophid Liver	Blinding Lophid Extract	Spiked Tail Fin	Lophid Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	CC - L	6	---	Y
Buoyant Lophid	Lophid	Piscinoid	Primordia	[19:00~5:00]: Janpath	11~20	80~138	11812~25138	201~353	118~135	171~299	114~131	175~307	39~59	0/0/-25/0/-50/-25		Large Lophid Liver	Blinding Lophid Extract	Spiked Tail Fin	Lophid Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	CC - L	6	---
Cave Duoguill	Duoguill	Piscinoid	Primordia	Headwater Cavern	1~10	25~71	1797~10252	45~157	126~147	51~177	120~141	46~162	15~34	0/-50/-25/0/10/-25		Duoguill Broth	Blue Electrical Tentacle	Fine Duoguill Fishmeal	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	---	---
Placid Duoguill	Duoguill	Piscinoid	Primordia	[19:00~5:00]: Biahno River,bigroof	11~20	76~131	11275~23995	171~299	150~171	192~338	144~165	175~307	36~55	0/-50/-25/0/10/-25		Duoguill Broth	Blue Electrical Tentacle	Fine Duoguill Fishmeal	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	---	---
Nether Duoguill	Duoguill	Piscinoid	Primordia	106,108W,midroof(d),Arlentcave	21~30	141~232	25405~43277	333~491	174~210	375~554	168~204	342~504	57~89	0/-50/-25/0/10/-25		Duoguill Broth	Blue Electrical Tentacle	Fine Duoguill Fishmeal	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	---	---
Blood Duoguill	Duoguill	Piscinoid	Primordia	[19:00~5:00]: 102N,120NE, Sayram-mid	31~40	242~343	45131~63178	511~699	213~246	577~788	207~240	525~717	92~120	0/-50/-25/0/10/-25		Duoguill Broth	Blue Electrical Tentacle	Fine Duoguill Fishmeal	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	---	---
Hephaestus, the Absconder	Duoguill	Piscinoid	Primordia	[19:00~5:00]: midroof	25	583	338867	564	192	637	186	579	69	5/-45/-20/5/15/-20		Duoguill Broth	Blue Electrical Tentacle	Fine Duoguill Fishmeal	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	---	---	Y
Sea Xiphias	Xiphias	Piscinoid	Primordia	NmostInlet,113	21~30	95~156	19388~33026	225~332	145~175	250~369	129~157	250~369	60~93	0/0/-25/0/-50/-25		Xiphias Mine Egg	Sapphire Horn	Fresh Fish Meat	Rotten Meat	---	---	---		〇	---	---	---
Coral Xiphias	Xiphias	Piscinoid	Primordia	120NE	31~40	163~231	34441~48213	346~473	178~205	385~252	160~185	385~525	96~126	0/0/-25/0/-50/-25		Xiphias Mine Egg	Sapphire Horn	Fresh Fish Meat	Rotten Meat	---	---	---		〇	---	---	---
Shatskiff, the Flasher	Xiphias	Piscinoid	Primordia	northmostinlet	25	183	53788	286	160	318	143	318	72	5/5/-20/5/-45/-20		Xiphias Mine Egg	Sapphire Horn	Fresh Fish Meat	Rotten Meat	---	---	---		〇	---	---	---	Y
Draken, the Drifting Cloud	Balaena	Piscinoid	Primordia	northisle	85	7034	5931570	7189	325	7788	367	5991	294	5/5/-20/5/-45/-20		Developed Balaena Fat	Lucky Rainbow Whisker	Big Balaena Water Bag	Giant Cavity	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	1	---	Y
Coral Balaena	Balaena	Piscinoid	Primordia	121S,northisle	31~40	634~898	499394~699088	1260~1720	155~179	1365~1864	173~200	1050~1434	88~115	0/0/-25/0/-50/-25		Developed Balaena Fat	Lucky Rainbow Whisker	Big Balaena Sand Bag	Giant Cavity	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	1	---
Sea Balaena	Balaena	Piscinoid	Primordia	121	41~50	937~1294	780839~944820	1778~2304	182~210	1926~2496	203~235	1482~1920	118~150	0/0/-25/0/-50/-25		Developed Balaena Fat	Lucky Rainbow Whisker	Big Balaena Sand Bag	Giant Cavity	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	1	---
Rajidi, the Cumuliform	Balaena	Piscinoid	Primordia	121S	52	2059	2207733	2555	227	2768	255	2129	165	5/5/-20/5/-45/-20		Developed Balaena Fat	Lucky Rainbow Whisker	Big Balaena Sand Bag	Giant Cavity	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	1	---	Y
Shoal Balaena	Balaena	Piscinoid	Primordia	northisle - Accompanies Draken, the Drifting Cloud	41~50	937~1294	780839~944820	1778~2304	182~210	1926~2496	203~235	1482~1920	118~150	0/0/-25/0/-50/-25		Developed Balaena Fat	Lucky Rainbow Whisker	Big Balaena Water Bag	Giant Cavity	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	1	---
Elvira, the Talondrake	Colubrium	Piscinoid	Primordia	[19:00~5:00]: Flies around Talon Rock [5:00~19:00]: Sleeps in the entrance to the Drop Shaft	90	8489	1442637	5296	414	5296	408	4074	313	0/0/-10/0/-30/-10		Reverse Colubrium Fin	Black Colubrium Tail	Colubrium Eel Kebab	Quality Scale	Pristine Whiskers	---	---		---	OR - H	10	---	Y
Bravo Unafulge	Unafulge	Piscinoid	Primordia	Castaway Cavern	51~60	303~390	66415~77721	651~811	250~287	651~811	244~281	723~902	165~204	0/0/-25/0/-50/-25		Unafulge Death Toxin	Steel Unafulge Cell	Transparent Membrane	Opaque Membrane	---	---	---		〇	---	---	---
Marnuck Admiral	Marnuck	Humanoid	Primordia	101S	41~50	170~235	50350~60924	494~640	208~240	543~704	213~246	494~640	123~157	0/-25/10/0/0/0		Combat Boost Meds	Fine White Belt	Broken Buckle	---	---	---	---		〇	---	9	---
Daril, the Eradicator	Marnuck	Humanoid	Primordia	[19:00~5:00]: 113SW	29	158	63487	391	186	340	168	340	78	5/-20/15/5/5/5		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---	Y
Marnuck Jaeger	Marnuck	Humanoid	Primordia	101S,119	41~50	170~235	50350~60924	494~640	208~240	543~704	213~246	494~640	123~157	0/-25/10/0/0/0		Combat Boost Meds	Fine White Belt	Broken Buckle	---	---	---	---		〇	---	9	---
